"Compass.TooltipTitle","Compass"
"Compass.TooltipDescription","Cliquez pour ouvrir les options"
"Compass.TitleBarLabel","Paramètres de Compass"
"Compass.CardinalDirectionModeLabel","Mode de direction cardinale"
"Compass.OnLabel","Activé"
"Compass.OffLabel","Désactivé"
"Compass.SetLabel","Appliquer"
"Compass.ResetLabel","Rétablir"
"Compass.RelativeNorthLabel","Nord relatif"
"Compass.HeadingLabel","Orientation"
"Compass.ResetToRelativeNorthLabel","Rétablir le Nord relatif"
"Compass.ResetToNorthLabel","Rétablir au Nord"
"Options.SECTION:[cgameworld.Compass]","Compass"
"Options.OPTION:ResetModSettings","Réinitialiser tous les paramètres"
"Options.OPTION_DESCRIPTION:ResetModSettings","Réinitialise les paramètres du mod aux valeurs par défaut"
"Options.WARNING:ResetModSettings","Êtes-vous sûr de vouloir réinitialiser tous les paramètres du mod?"
