"Compass.TooltipTitle","나침반"
"Compass.TooltipDescription","클릭하여 옵션 열기"
"Compass.TitleBarLabel","나침반 설정"
"Compass.CardinalDirectionModeLabel","주요 방향 모드"
"Compass.OnLabel","켜기"
"Compass.OffLabel","끄기"
"Compass.SetLabel","설정"
"Compass.ResetLabel","초기화"
"Compass.RelativeNorthLabel","상대적인 북쪽"
"Compass.HeadingLabel","진행방향"
"Compass.ResetToRelativeNorthLabel","상대적인 북쪽 초기화"
"Compass.ResetToNorthLabel","북쪽으로 초기화"
"Options.SECTION:[cgameworld.Compass]","나침반(Compass)"
"Options.OPTION:ResetModSettings","모든 설정 초기화"
"Options.OPTION_DESCRIPTION:ResetModSettings","모드 설정을 기본 값으로 초기화합니다."
"Options.WARNING:ResetModSettings","모드 설정을 모두 초기화하시겠습니까?"
"Options.BINDING:SetToNorthKeybindBinding","북쪽으로 재설정"
"Options.OPTION:SetToNorthKeybind","북쪽으로 재설정"
"Options.BINDING:SetNorthDirectionKeybindBinding","상대 북쪽 설정"
"Options.OPTION:SetNorthDirectionKeybind","상대 북쪽 설정"
"Options.BINDING:ResetNorthDirectionKeybindBinding","상대 북쪽 재설정"
"Options.OPTION:ResetNorthDirectionKeybind","상대 북쪽 재설정"
"Options.OPTION_DESCRIPTION:SetToNorthKeybind","북쪽으로 재설정하는 키보드 단축키"
"Options.OPTION_DESCRIPTION:SetNorthDirectionKeybind","상대 북쪽을 설정하는 키보드 단축키"
"Options.OPTION_DESCRIPTION:ResetNorthDirectionKeybind","상대 북쪽을 재설정하는 키보드 단축키"
"Options.OPTION:ModVersion","모드 버전"
"Options.OPTION_DESCRIPTION:ModVersion","설치된 모드 버전"
