"Compass.TooltipTitle","Kompas"
"Compass.TooltipDescription","Kliknij, aby otworzyć opcje"
"Compass.TitleBarLabel","Ustawienia kompasu"
"Compass.CardinalDirectionModeLabel","Tryb kierunków kardynalnych"
"Compass.OnLabel","Wł."
"Compass.OffLabel","Wył."
"Compass.SetLabel","Ustaw"
"Compass.ResetLabel","Przywróć"
"Compass.RelativeNorthLabel","Ustalona Północ"
"Compass.HeadingLabel","Kierunek"
"Compass.ResetToRelativeNorthLabel","Przywróć na ustaloną północ"
"Compass.ResetToNorthLabel","Przywróć na północ"
"Options.SECTION:[cgameworld.Compass]","Kompas"
"Options.OPTION:ResetModSettings","Zresetuj wszystkie ustawienia"
"Options.OPTION_DESCRIPTION:ResetModSettings","Zresetuj ustawienia moda do wartości domyślnych"
"Options.WARNING:ResetModSettings","Czy na pewno chcesz zresetować wszystkie ustawienia moda?"
