"Compass.TooltipTitle","Compass"
"Compass.TooltipDescription","Clique para abrir as opções"
"Compass.TitleBarLabel","Configurações do Compass"
"Compass.CardinalDirectionModeLabel","Modo de direção cardeal"
"Compass.OnLabel","Ativado"
"Compass.OffLabel","Desativado"
"Compass.SetLabel","Aplicar"
"Compass.ResetLabel","Redefinir"
"Compass.RelativeNorthLabel","Norte Relativo"
"Compass.HeadingLabel","Orientação"
"Compass.ResetToRelativeNorthLabel","Redefinir para o Norte Relativo"
"Compass.ResetToNorthLabel","Redefinir para o Norte"
"Options.SECTION:[cgameworld.Compass]","Compass"
"Options.OPTION:ResetModSettings","Redefinir todas as configurações"
"Options.OPTION_DESCRIPTION:ResetModSettings","Redefine as configurações do Mod para os valores padrão"
"Options.WARNING:ResetModSettings","Tem certeza que deseja redefinir todas as configurações do Mod?"
"Options.BINDING:SetToNorthKeybindBinding","Repor para norte"
"Options.OPTION:SetToNorthKeybind","Repor para norte"
"Options.BINDING:SetNorthDirectionKeybindBinding","Norte relativo"
"Options.OPTION:SetNorthDirectionKeybind","Norte relativo"
"Options.BINDING:ResetNorthDirectionKeybindBinding","Repor para o norte relativo"
"Options.OPTION:ResetNorthDirectionKeybind","Repor para o norte relativo"
"Options.OPTION_DESCRIPTION:SetToNorthKeybind","Atalho do teclado para repor ao norte"
"Options.OPTION_DESCRIPTION:SetNorthDirectionKeybind","Atalho do teclado para colocar ao norte"
"Options.OPTION_DESCRIPTION:ResetNorthDirectionKeybind","Atalho do teclado para repor ao norte relativo"
"Options.OPTION:ModVersion","Versão do mod"
"Options.OPTION_DESCRIPTION:ModVersion","Versão do mod instalada"
