"Compass.TooltipTitle","Compass"
"Compass.TooltipDescription","Clica para abrir as opções"
"Compass.TitleBarLabel","Definições do Compass"
"Compass.CardinalDirectionModeLabel","Modo de direção cardeal"
"Compass.OnLabel","Ativado"
"Compass.OffLabel","Desativado"
"Compass.SetLabel","Aplicar"
"Compass.ResetLabel","Repor"
"Compass.RelativeNorthLabel","Norte relativo"
"Compass.HeadingLabel","Orientação"
"Compass.ResetToRelativeNorthLabel","Repor para o norte relativo"
"Compass.ResetToNorthLabel","Repor para norte"
"Options.SECTION:[cgameworld.Compass]","Compass"
"Options.OPTION:ResetModSettings","Repor todas as definições"
"Options.OPTION_DESCRIPTION:ResetModSettings","Repõe todas as definições para os valores padrão"
"Options.WARNING:ResetModSettings","Tens a certeza que queres repor todas as definições do mod?"
"Options.BINDING:SetToNorthKeybindBinding","Repor para norte"
"Options.OPTION:SetToNorthKeybind","Repor para norte"
"Options.BINDING:SetNorthDirectionKeybindBinding","Norte relativo"
"Options.OPTION:SetNorthDirectionKeybind","Norte relativo"
"Options.BINDING:ResetNorthDirectionKeybindBinding","Repor para o norte relativo"
"Options.OPTION:ResetNorthDirectionKeybind","Repor para o norte relativo"
"Options.OPTION_DESCRIPTION:SetToNorthKeybind","Atalho do teclado para repor ao norte"
"Options.OPTION_DESCRIPTION:SetNorthDirectionKeybind","Atalho do teclado para colocar ao norte"
"Options.OPTION_DESCRIPTION:ResetNorthDirectionKeybind","Atalho do teclado para repor ao norte relativo"
