"Compass.TooltipTitle","Компас"
"Compass.TooltipDescription","Кликните, чтобы открыть настройки"
"Compass.TitleBarLabel","Настройки компаса"
"Compass.CardinalDirectionModeLabel","Режим сторон света"
"Compass.OnLabel","Вкл"
"Compass.OffLabel","Выкл"
"Compass.SetLabel","Задать"
"Compass.ResetLabel","Сбросить"
"Compass.RelativeNorthLabel","Относительно Севера"
"Compass.HeadingLabel","Направление"
"Compass.ResetToRelativeNorthLabel","Сбросить на Относительно Север"
"Compass.ResetToNorthLabel","Сбросить на Север"
"Options.SECTION:[cgameworld.Compass]","Компас"
"Options.OPTION:ResetModSettings","Сбросить все настройки"
"Options.OPTION_DESCRIPTION:ResetModSettings","Сбросить настройки мода на значения по умолчанию"
"Options.WARNING:ResetModSettings","Вы уверены, что хотите сбросить все настройки мода?"
