"Compass.TooltipTitle","指南针"
"Compass.TooltipDescription","点击打开选项"
"Compass.TitleBarLabel","指南针设置"
"Compass.CardinalDirectionModeLabel","基本方位"
"Compass.OnLabel","开"
"Compass.OffLabel","关"
"Compass.SetLabel","设置"
"Compass.ResetLabel","重置"
"Compass.RelativeNorthLabel","相对北方"
"Compass.HeadingLabel","当前方向"
"Compass.ResetToRelativeNorthLabel","重置为相对北方"
"Compass.ResetToNorthLabel","重置为北方"
"Options.SECTION:[cgameworld.Compass]","指南针"
"Options.OPTION:ResetModSettings","重置全部设置"
"Options.OPTION_DESCRIPTION:ResetModSettings","将模组设置重置为默认值"
"Options.WARNING:ResetModSettings","你确定要重设模组设置吗？"
"Options.BINDING:SetToNorthKeybindBinding","重置为北方"
"Options.OPTION:SetToNorthKeybind","重置为北方"
"Options.BINDING:SetNorthDirectionKeybindBinding","设置相对北方"
"Options.OPTION:SetNorthDirectionKeybind","设置相对北方"
"Options.BINDING:ResetNorthDirectionKeybindBinding","重置相对北方"
"Options.OPTION:ResetNorthDirectionKeybind","重置相对北方"
"Options.OPTION_DESCRIPTION:SetToNorthKeybind","重置为北方的键盘快捷键"
"Options.OPTION_DESCRIPTION:SetNorthDirectionKeybind","设置相对北方的键盘快捷键"
"Options.OPTION_DESCRIPTION:ResetNorthDirectionKeybind","重置相对北方的键盘快捷键"
